id,statut,priorite,entreprise,secteur,ville,taille,poste_vise,angle,canal,contact,email_url,date_envoi,date_relance,prochaine_action,notes
1,a_contacter,1,Marée Albe,Import-export sel marin (franco-tunisienne),Marseille / Tunisie,PME,Assistant import-export / développement commercial,"Piste n°1 : le réseau familial. Proposer 3 j/semaine sur ADV export, liasse documentaire, prospection France et Tunisie",Direct (réseau père),[à compléter],[à compléter],,,Écrire le pitch interne + valider la faisabilité maître d'apprentissage,"Le maître d'apprentissage doit avoir 24 ans + 1 an d'expérience (ou 2 ans + diplôme équivalent). Vérifier que la société peut porter un contrat d'apprentissage (OPCO + compte AT/PRO). Même si ce n'est pas elle, demander 5 introductions au réseau Tunisie/France."
2,a_contacter,1,Militzer & Münch France (M&M),Commissionnaire transport / douane France-Maghreb,Marseille,ETI,Assistant transit / douane import-export,"Spécialiste flux France-Tunisie (Marseille → Radès, Sousse, Sfax, Ro-Ro, 3-4 j). Exactement mon futur métier",Site web / LinkedIn,,https://www.mumnet.fr/,,,Trouver le responsable d'agence Marseille sur LinkedIn,"Très pertinent : ils dédouanent en Tunisie, ont des équipes douane intégrées."
3,a_contacter,1,Seatrans,Transitaire spécialiste Maghreb,Marseille 2e,PME,Assistant import-export Maghreb,Spécialiste Algérie/Tunisie depuis 1989 ; dossiers import/export de A à Z,Téléphone + e-mail,,"30 rue Fauchier, BP 30102, 13473 Marseille cedex 02 - 04 91 56 00 11",,,Appeler le standard et demander le responsable d'exploitation,Coordonnées vérifiées publiquement. PME = aide employeur 4 500 € (niveau 5).
4,a_contacter,1,Cofrapex,Avitaillement & commerce international,Vitrolles (13127),PME,Alternance transport / commerce international,Publie déjà des offres d'alternance transport-commerce international,Offre en ligne / site,,https://www.cofrapex.com/,,,Rechercher l'offre et postuler + candidature spontanée,Offre d'alternance vue en 2026 sur Indeed : à re-vérifier.
5,a_contacter,1,Pernod Ricard France (Ricard),Spiritueux - supply chain export,Marseille 2e,Grand groupe,Alternance Assistant Supply Chain / ADV export,"Offre d'alternance Supply Chain à Marseille (sept. 2026), KPI export des marques",Site carrières,,https://www.pernodricard.com/fr/carrieres,,,Vérifier si l'offre est encore ouverte et postuler,Grand groupe mais missions export réelles ; aide employeur réduite (1 500 €) donc miser sur le profil.
6,a_contacter,1,GD France,Distribution / import,Rousset (13790),ETI,Assistant(e) Import Commerce International,"Offre exactement sur le métier visé : coordination commandes, suivi import",Offre en ligne / site,,https://www.gd-france.com/,,,Postuler à l'offre + relance téléphonique,Offre vue sur Indeed (2026).
7,a_contacter,1,CEVA Logistics,Logistique internationale,Vitrolles / Marseille / Fos,Grand groupe,Alternance exploitation flux import-export,Pilotage des flux import/export maritime et route,Site carrières,,https://www.cevalogistics.com/,,,Chercher les offres alternance PACA,Beaucoup d'offres ; postuler en ciblant Vitrolles/Fos.
8,a_contacter,1,Mathez Freight,Transitaire / commissionnaire en douane Maghreb,Marseille / Nice,PME,Assistant déclarant en douane,"OEA-Full, export Maghreb (Tunisie/Algérie/Maroc), changement réglementaire avril 2026 = besoin de profils douane",Site web / LinkedIn,,https://www.mathezfreight.com/,,,Candidature spontanée au responsable douane,Angle fort : la réforme du 01/04/2026 oblige à passer par des RDE ; les services douane sont sous tension.
9,a_contacter,1,ITEM (International Trade Étiquetage et Marquage),Négoce import-export + étiquetage/conformité,Marseille,TPE-PME,Assistant négoce / conformité export,Étiquetage et marquage de produits alimentaires et non alimentaires destinés à l'export : compétence clé pour mon projet,Site web / LinkedIn,,,,,Visiter le site puis envoyer un e-mail direct,"Petite structure = forte exposition, polyvalence, aide employeur maximale."
10,a_contacter,1,SOMEXPORT,"Négoce / export (centrales d'achat, Afrique, Antilles, Moyen-Orient)",Marseille,PME,Assistant export,Approvisionnement de centrales d'achat et export multi-zones,Site web / LinkedIn,,,,,Candidature spontanée,"Profil négoce pur : très formateur sur les prix, incoterms, liasse documentaire."
11,a_contacter,1,Equateur Fruits,Grossiste B2B fruits transformés (import),Marseille,PME,Assistant achats / import agro,Import de matières premières agro pour l'industrie alimentaire,Site web / LinkedIn,,,,,Candidature spontanée,"Utile pour mon projet agro (sourçage, qualité, douane alimentaire)."
12,a_contacter,1,SML Import Export,Import-export agroalimentaire,Marseille,TPE-PME,Assistant import-export agro,Import/export de produits agroalimentaires,Site web / LinkedIn,,,,,Candidature spontanée,Petite équipe = missions complètes.
13,a_contacter,1,Sayviv'on Trading,"Cross-border trading (boissons, cosmétiques, matières premières)",Marseille,TPE-PME,Assistant trading / développement,Commerce cross-border Europe/Asie/Golfe : exactement le schéma de ma future société de négoce,Site web / LinkedIn,,,,,Candidature spontanée,Très pertinent pour comprendre le négoce international en petite structure.
14,a_contacter,1,GFS Logistics,Logistique internationale (OEA),Marseille,PME,Assistant logistique internationale / douane,Opérateur Économique Agréé : procédures douanières accélérées,Site web / LinkedIn,,,,,Candidature spontanée,
15,a_contacter,1,Méditerranée Transit International,Commissionnaire transport / transit portuaire,Marseille,ETI,Assistant transit import-export,Opérations import/export et transit portuaire à Marseille,Site web / LinkedIn,,,,,Candidature spontanée,
16,a_contacter,1,Prolog SAS,Commissionnaire transport agréé en douane,Marseille 7e,PME,Assistant commissionnaire / douane,"Commissionnaire indépendant, siège à Marseille",Site web / LinkedIn,,,,,Candidature spontanée,
17,a_contacter,1,Transtime,Organisation de transport / douane,Marseille 2e,PME,Assistant import-export,Import-export + déclarations de douane,Site web / PagesJaunes,,,"71 rue de la Joliette, 13002 Marseille",,Appeler le standard,Coordonnées issues d'un annuaire public : à re-vérifier.
18,a_contacter,2,Grospiron International,Transit international,Marseille 2e,ETI,Assistant transit,Groupe de transit international,Site web / LinkedIn,,,"10 place de la Joliette, 13002 Marseille",,Candidature spontanée,Coordonnées issues d'un annuaire public : à re-vérifier.
19,a_contacter,2,DSV Air & Sea,Transit aérien et maritime,Marseille 14e,Grand groupe,Assistant freight forwarding,Flux aériens et maritimes internationaux,Site carrières,,https://www.dsv.com/,,,Chercher les offres alternance PACA,
20,a_contacter,2,Seko Bansard,Transit international,Marseille 2e,ETI,Assistant import-export,Commissionnaire de transport,Site carrières / LinkedIn,,,,,Candidature spontanée,Coordonnées issues d'un annuaire public : à re-vérifier.
21,a_contacter,2,Maersk France,Shipping / logistique,Marseille 2e,Grand groupe,Alternance customer experience / export,"Premier armateur mondial, bureaux à la Joliette",Site carrières,,https://www.maersk.com/careers,,,Chercher les offres France alternance,Concurrence forte mais très formateur.
22,a_contacter,2,MSC France (Mediterranean Shipping),Shipping,Marseille,Grand groupe,Alternance documentation / export,Armateur majeur basé à Marseille,Site carrières,,https://www.msc.com/,,,Chercher les offres alternance,
23,a_contacter,2,CMA CGM,Shipping / logistique (siège mondial),Marseille 2e,Grand groupe,Alternance supply chain / trade,Siège mondial à Marseille ; nombreux programmes d'alternance,Site carrières,,https://www.cmacgm.com/fr/carrieres,,,Créer une alerte et postuler aux offres PACA,Process long : postuler tôt.
24,a_contacter,2,Geodis,Logistique / freight forwarding,Marseille / Vitrolles,Grand groupe,Alternance exploitation / douane,Réseau international,Site carrières,,https://www.geodis.com/,,,Chercher les offres alternance PACA,
25,a_contacter,2,DB Schenker,Logistique / freight,Marseille / Aix,Grand groupe,Alternance logistique internationale,Réseau mondial,Site carrières,,,,,Chercher les offres alternance PACA,
26,a_contacter,2,Kuehne+Nagel,Freight forwarding,Marseille / Marignane,Grand groupe,Alternance sea freight,Forte activité maritime à Marseille/Fos,Site carrières,,,,,Chercher les offres alternance PACA,
27,a_contacter,2,DHL Global Forwarding,Freight forwarding aérien/maritime,Marignane / Marseille,Grand groupe,Alternance freight,Aéroport Marseille-Provence,Site carrières,,,,,Chercher les offres alternance PACA,
28,a_contacter,2,Grand Port Maritime de Marseille (GPMM),Port / logistique,Fos-sur-Mer / Marseille,Public,Alternance exploitation portuaire,Acteur central des flux méditerranéens,Site carrières,,https://www.marseille-port.fr/,,,Chercher les offres alternance,
29,a_contacter,2,Corania,Cosmétiques - fabrication & export,Les Pennes-Mirabeau (13170),PME/ETI,Alternance assistant commercial export,Publie des offres assistant commercial export ; environnement international,Site carrières / LinkedIn,,https://www.corania.fr/,,,Candidature spontanée au service export,Utile aussi pour mon idée de diversification cosmétique.
30,a_contacter,2,Boisset - La Famille des Grands Vins,Vins - export (80 pays),Marseille 13001,ETI,Alternance commercial / export,"Présence dans 80 pays, alternance chef de secteur à Marseille",Site carrières,,,,,Candidature spontanée,Poste orienté GMS terrain : moins import-export mais réseau commercial réel.
31,a_contacter,2,Bpifrance - Direction régionale Marseille,Financement / accompagnement export,Marseille,Public/EPIC,Alternance assistant commercial,Accès au réseau export (Team France Export) et aux dispositifs de financement,Site carrières,,https://www.bpifrance.fr/,,,Chercher l'offre alternance Marseille,"Offre vue en 2026 (alternance, télétravail possible). Réseau très utile pour la suite."
32,a_contacter,2,LPT Logistique International,Transport maritime de vracs liquides (huiles),Marseille,TPE-PME,Assistant logistique import,Spécialisé dans le transport maritime d'huiles : directement utile pour l'huile d'olive en vrac,Site web / LinkedIn,,,,,Candidature spontanée,"Pertinent pour comprendre le vrac liquide, citernes, flexitanks."
33,a_contacter,2,WEMADE,Sourcing / import Asie,Marseille,TPE-PME,Assistant sourcing / import,Sourcing et gestion de fabrication à l'international,Site web / LinkedIn,,,,,Candidature spontanée,Angle achats internationaux (bloc 1 du BTS).
34,a_contacter,3,Corsica Linea / La Méridionale,Transport maritime Ro-Ro (passagers & fret),Marseille,ETI,Alternance service fret / commercial,Fret Ro-Ro Méditerranée/Maghreb,Site carrières,,,,,Vérifier s'ils recrutent des alternants fret,À vérifier : dessertes et services fret.
35,a_contacter,3,Cars France / Groupe de négoce agro (à identifier),Négoce agroalimentaire méditerranéen,Marseille / Aix,à déterminer,Assistant achats / import,À identifier via Europages / Kompass / annuaire CCI,Annuaires B2B,,,,,Faire une recherche Europages + Kompass sur « import export Marseille » et « négoce Tunisie France »,"Cible à compléter : viser les importateurs de produits tunisiens (dattes, huile d'olive, harissa) en France."
36,a_contacter,3,Distributeurs CHR & épiceries fines (Marseille/Nice),Distribution spécialisée CHR,Marseille / Nice,PME,Alternance commercial terrain,Angle commercial + connaissance client CHR utile pour ma future marque,Terrain / LinkedIn,,,,,Constituer une liste de 15 CHR et épiceries fines importatrices,Moins « import-export » mais excellent pour le développement commercial.
37,a_contacter,3,Team France Export / CCI Aix-Marseille-Provence,Dispositif d'accompagnement export,Marseille,Institution,Alternance / mission export,Les conseillers Team France Export connaissent les PME qui cherchent des alternants export,Réseau / e-mail,,https://www.teamfrance-export.fr/,,,Demander une mise en relation avec des PME exportatrices du 13,Ne pas postuler : demander des introductions. Même démarche auprès de la CCI AMP et du Club Export.
38,a_contacter,3,Marseille Fos Promotion / Union Maritime et Fluviale,Cluster portuaire,Marseille,Association,Alternance (via entreprises membres),Fichier d'entreprises membres = vivier de cibles import-export,Site web,,https://www.marseillefos.com/,,,Récupérer l'annuaire des membres et cibler 15 entreprises,Excellent multiplicateur de cibles en une seule recherche.
